1780|WEMMEL|Vlaams-Brabant|WEMMEL|Brabant Flamand
1785|Brussegem|Vlaams-Brabant|Brussegem|Brabant Flamand
1785|Hamme|Vlaams-Brabant|Hamme|Brabant Flamand
1785|MERCHTEM|Vlaams-Brabant|MERCHTEM|Brabant Flamand
1790|AFFLIGEM|Vlaams-Brabant|AFFLIGEM|Brabant Flamand
1790|Essene|Vlaams-Brabant|Essene|Brabant Flamand
1790|Hekelgem|Vlaams-Brabant|Hekelgem|Brabant Flamand
1790|Teralfene|Vlaams-Brabant|Teralfene|Brabant Flamand
1800|Peutie|Vlaams-Brabant|Peutie|Brabant Flamand
1800|VILVOORDE|Vlaams-Brabant|VILVOORDE|Brabant Flamand
1804|Cargovil||Cargovil|
1818|VTM||VTM|
1820|Melsbroek|Vlaams-Brabant|Melsbroek|Brabant Flamand
1820|Perk|Vlaams-Brabant|Perk|Brabant Flamand
1820|STEENOKKERZEEL|Vlaams-Brabant|STEENOKKERZEEL|Brabant Flamand
1830|MACHELEN|Vlaams-Brabant|MACHELEN|Brabant Flamand
1831|Diegem|Vlaams-Brabant|Diegem|Brabant Flamand
1840|LONDERZEEL|Vlaams-Brabant|LONDERZEEL|Brabant Flamand
1840|Malderen|Vlaams-Brabant|Malderen|Brabant Flamand
1840|Steenhuffel|Vlaams-Brabant|Steenhuffel|Brabant Flamand
1850|GRIMBERGEN|Vlaams-Brabant|GRIMBERGEN|Brabant Flamand
1851|Humbeek|Vlaams-Brabant|Humbeek|Brabant Flamand
1852|Beigem|Vlaams-Brabant|Beigem|Brabant Flamand
1853|Strombeek-Bever|Vlaams-Brabant|Strombeek-Bever|Brabant Flamand
1860|MEISE|Vlaams-Brabant|MEISE|Brabant Flamand
1861|Wolvertem|Vlaams-Brabant|Wolvertem|Brabant Flamand
1880|KAPELLE-OP-DEN-BOS|Vlaams-Brabant|KAPELLE-OP-DEN-BOS|Brabant Flamand
1880|Nieuwenrode|Vlaams-Brabant|Nieuwenrode|Brabant Flamand
1880|Ramsdonk|Vlaams-Brabant|Ramsdonk|Brabant Flamand
1910|Berg|Vlaams-Brabant|Berg|Brabant Flamand
1910|Buken|Vlaams-Brabant|Buken|Brabant Flamand
1910|KAMPENHOUT|Vlaams-Brabant|KAMPENHOUT|Brabant Flamand
1910|Nederokkerzeel|Vlaams-Brabant|Nederokkerzeel|Brabant Flamand
1930|Nossegem|Vlaams-Brabant|Nossegem|Brabant Flamand
1930|ZAVENTEM|Vlaams-Brabant|ZAVENTEM|Brabant Flamand
1931|Brucargo||Brucargo|
1932|Sint-Stevens-Woluwe|Vlaams-Brabant|Sint-Stevens-Woluwe|Brabant Flamand
1933|Sterrebeek|Vlaams-Brabant|Sterrebeek|Brabant Flamand
1934|Office Exchange Brussels Airport Remailing||Office Exchange Brussels Airport Remailing|
1935|Corporate Village||Corporate Village|
1950|KRAAINEM|Vlaams-Brabant|KRAAINEM|Brabant Flamand
1970|WEZEMBEEK-OPPEM|Vlaams-Brabant|WEZEMBEEK-OPPEM|Brabant Flamand
1980|Eppegem|Vlaams-Brabant|Eppegem|Brabant Flamand
1980|ZEMST|Vlaams-Brabant|ZEMST|Brabant Flamand
1981|Hofstade|Vlaams-Brabant|Hofstade|Brabant Flamand
1982|Elewijt|Vlaams-Brabant|Elewijt|Brabant Flamand
1982|Weerde|Vlaams-Brabant|Weerde|Brabant Flamand
2000|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2018|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2020|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2030|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2040|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2040|Berendrecht|Antwerpen|Berendrecht|Anvers
2040|Lillo|Antwerpen|Lillo|Anvers
2040|Zandvliet|Antwerpen|Zandvliet|Anvers
2050|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2060|ANTWERPEN|Antwerpen|ANTWERPEN|Anvers
2070|Burcht|Antwerpen|Burcht|Anvers
2070|ZWIJNDRECHT|Antwerpen|ZWIJNDRECHT|Anvers
2075|CSM Antwerpen X||CSM Antwerpen X|
2099|Antwerpen X||Antwerpen x|
2100|Deurne|Antwerpen|Deurne|Anvers
2110|WIJNEGEM|Antwerpen|WIJNEGEM|Anvers
2140|Borgerhout|Antwerpen|Borgerhout|Anvers
2150|BORSBEEK|Antwerpen|BORSBEEK|Anvers
2160|WOMMELGEM|Antwerpen|WOMMELGEM|Anvers
2170|Merksem|Antwerpen|Merksem|Anvers
2180|Ekeren|Antwerpen|Ekeren|Anvers
2200|HERENTALS|Antwerpen|HERENTALS|Anvers
2200|Morkhoven|Antwerpen|Morkhoven|Anvers
2200|Noorderwijk|Antwerpen|Noorderwijk|Anvers
2220|Hallaar|Antwerpen|Hallaar|Anvers
2220|HEIST-OP-DEN-BERG|Antwerpen|HEIST-OP-DEN-BERG|Anvers
2221|Booischot|Antwerpen|Booischot|Anvers
2222|Itegem|Antwerpen|Itegem|Anvers
2222|Wiekevorst|Antwerpen|Wiekevorst|Anvers
2223|Schriek|Antwerpen|Schriek|Anvers
2230|HERSELT|Antwerpen|HERSELT|Anvers
2230|Ramsel|Antwerpen|Ramsel|Anvers
2235|Houtvenne|Antwerpen|Houtvenne|Anvers
2235|HULSHOUT|Antwerpen|HULSHOUT|Anvers
2235|Westmeerbeek|Antwerpen|Westmeerbeek|Anvers
2240|Massenhoven|Antwerpen|Massenhoven|Anvers
2240|Viersel|Antwerpen|Viersel|Anvers
